data,load,GRU,lstm,RF,LM,GB,SVM,SVR,Target2
2013/1/7 23:00,45310.72,46477.12109,46993.63281,45926.68009,45367.67903,45768.12318,47205.55429,45939.9542,45813.04
2013/1/8 0:00,41913.69,42488.37109,42184.67578,41931.92124,38678.59859,42763.76301,42925.40712,43443.9586,42400.54
2013/1/8 1:00,39918.06,40610.65234,40558.05469,40221.9179,36797.19645,40018.89243,41078.33114,41530.54822,40781.65
2013/1/8 2:00,39330.2,40007.6875,39971.46484,39652.52918,36508.76621,39114.71084,40526.42763,41255.42345,40021.8
2013/1/8 3:00,39858.91,40323.05469,40291.03516,40160.63496,37409.70724,40799.91859,40989.10361,42197.62686,40425.84
2013/1/8 4:00,41000.96,41591.35938,41529.45313,40996.54114,38964.09235,42089.96505,42085.3554,44240.25997,41945.54
2013/1/8 5:00,43517.11,44751.76563,45500.35156,43626.84114,41909.42696,44898.86767,44193.43354,48718.24482,44614.57
2013/1/8 6:00,50301.16,50855.08594,50780.29297,50173.40834,49045.88429,50614.64913,49540.95888,59680.96162,51520.56
2013/1/8 7:00,56684.81,56818.37891,57060.03516,56102.90474,56019.80636,57033.44619,55635.38329,68044.30128,57884.19
2013/1/8 8:00,58224.53,59716.90625,59076.11328,58540.99777,57979.55372,58819.80338,58154.5658,68374.09725,60185.58
2013/1/8 9:00,58024.33,59865.49609,59669.24219,58530.07271,57200.75888,59151.31437,58618.2147,67782.32647,59755.15
2013/1/8 10:00,59001.67,60555.64063,60342.95703,59285.3263,57098.48258,59987.93814,59737.62358,67990.9764,60591.44
2013/1/8 11:00,60642.4,61472.96484,61496.875,60570.04529,57758.22495,61572.1883,61419.50898,67845.71987,61851.79
2013/1/8 12:00,60312.07,61087.10156,61190.40625,59726.46326,57069.43314,61369.88449,61384.24744,66352.36334,61144.72
2013/1/8 13:00,59990.84,60454.76563,60315.53906,59857.31479,56344.6495,60706.16271,61127.00383,65873.54467,60947.25
2013/1/8 14:00,59183.67,59917.00781,59869.92188,59162.01948,55229.95451,58899.87904,60436.95206,64842.33276,60065.46
2013/1/8 15:00,58812.39,59181.61719,59075.49219,58198.56871,54413.13672,58004.21179,60077.84881,64187.14731,59480.33
2013/1/8 16:00,58973.46,59012.07422,58660.9375,58825.65072,54068.70043,58756.98917,60229.88452,63826.0403,59660.51
2013/1/8 17:00,61087.39,61714.00781,61517.9375,60708.22758,55429.19614,61206.65074,61942.19588,64748.04395,61205.69
2013/1/8 18:00,60839.87,62418.86328,62745.52734,60573.56062,55112.86821,60795.17871,61659.44978,63307.05624,60487.7
2013/1/8 19:00,59062.64,58551.05469,59501.26563,58991.45485,53338.70858,59143.15812,60062.39636,61449.15423,58386.51
2013/1/8 20:00,55655.6,55563.52344,55613.65234,55467.88378,49959.71397,56199.25972,56928.25399,58100.17645,54549.04
2013/1/8 21:00,52756.34,51935.49219,51966.42969,52647.60289,46803.45194,53242.37788,54136.0975,55321.10677,51347.66
2013/1/8 22:00,50560.51,49539.43359,49688.67969,50526.9587,44329.72425,50254.27634,52158.62342,52600.08943,49113.61
2013/1/8 23:00,45813.04,45189.48438,45127.84766,46290.80628,40216.8282,45784.06377,48284.60515,48205.20431,44443.49
2013/1/9 0:00,42400.54,40945.4375,41028.32031,42399.78844,37444.18514,42347.5344,43655.71776,46209.03994,41265.77
2013/1/9 1:00,40781.65,39503.13281,39438.96484,40413.78806,35986.93536,40621.62873,41870.00154,44608.31302,39657.8
2013/1/9 2:00,40021.8,38914.54688,38873.40625,40072.0502,35548.70436,40702.92876,41053.79301,43746.3607,38810.59
2013/1/9 3:00,40425.84,39122.05859,39063.25781,40181.62805,36168.08913,40919.96472,41244.27894,44172.69128,39143.65
